member,Fy,span_ft,w_asd_plf,footnote
1200S200-54,50,6,918.0,e
1200S200-54,50,8,689.0,e
1200S200-54,50,10,551.0,e
1200S200-54,50,12,459.0,e
1200S250-54,33,3,1836.0,e
1200S250-54,33,4,1377.0,e
1200S250-54,33,5,1102.0,e
1200S250-54,33,6,918.0,e
1200S250-54,33,8,689.0,e
1200S250-54,33,10,534.0,e
1200S250-54,33,12,371.0,e
1200S250-54,50,3,1836.0,e
1200S250-54,50,4,1377.0,e
1200S250-54,50,5,1102.0,e
1200S250-54,50,6,918.0,e
1200S250-54,50,8,689.0,e
1200S250-54,50,10,551.0,e
1200S250-54,50,12,459.0,e
1200S162-68,50,3,3693.0,e
1200S162-68,50,4,2770.0,e
1200S162-68,50,5,2216.0,e
1200S162-68,50,6,1847.0,e
1200S162-68,50,8,1385.0,e
1200S162-68,50,10,1034.0,e
1200S162-68,50,12,718.0,e
1200S200-68,50,3,3693.0,e
1200S200-68,50,4,2770.0,e
1200S200-68,50,5,2216.0,e
1200S200-68,50,6,1847.0,e
1200S200-68,50,8,1385.0,e
1200S200-68,50,10,1108.0,e
1200S200-68,50,12,807.0,e
1200S250-68,50,3,3693.0,e
1200S250-68,50,4,2770.0,e
1200S250-68,50,5,2216.0,e
1200S250-68,50,6,1847.0,e
1200S250-68,50,8,1385.0,e
1200S250-68,50,10,1108.0,e
1200S250-68,50,12,814.0,e
1200S162-97,50,3,10860.0,e
1200S162-97,50,4,8145.0,e
1200S162-97,50,5,6476.0,e
1200S162-97,50,6,4497.0,e
1200S162-97,50,8,2530.0,e
1200S162-97,50,10,1619.0,e
1200S162-97,50,12,1124.0,e
1200S200-97,50,3,10860.0,e
1200S200-97,50,4,8145.0,e
1200S200-97,50,5,6516.0,e
1200S200-97,50,6,5130.0,e
1200S200-97,50,8,2886.0,e
1200S200-97,50,10,1847.0,e
1200S200-97,50,12,1283.0,e
1200S250-97,50,3,10860.0,e
1200S250-97,50,4,8145.0,e
1200S250-97,50,5,6516.0,e
1200S250-97,50,6,5430.0,e
1200S250-97,50,8,3117.0,e
1200S250-97,50,10,1995.0,e
1200S250-97,50,12,1385.0,e
1200S162-118,50,3,19976.0,e
1200S162-118,50,4,12852.0,e
1200S162-118,50,5,8225.0,e
1200S162-118,50,6,5712.0,e
1200S162-118,50,8,3213.0,e
1200S162-118,50,10,2056.0,e
1200S162-118,50,12,1428.0,e
1200S200-118,50,3,19976.0,e
1200S200-118,50,4,14591.0,e
1200S200-118,50,5,9338.0,e
1200S200-118,50,6,6485.0,e
1200S200-118,50,8,3648.0,e
1200S200-118,50,10,2335.0,e
1200S200-118,50,12,1621.0,e
1200S250-118,50,3,19976.0,e
1200S250-118,50,4,14982.0,e
1200S250-118,50,5,10438.0,e
1200S250-118,50,6,7249.0,e
1200S250-118,50,8,4077.0,e
1200S250-118,50,10,2609.0,e
1200S250-118,50,12,1812.0,e
1200S300-118,50,3,19976.0,e
1200S300-118,50,4,14982.0,e
1200S300-118,50,5,11551.0,e
1200S300-118,50,6,8022.0,e
1200S300-118,50,8,4512.0,e
1200S300-118,50,10,2888.0,e
1200S300-118,50,12,2005.0,e
1200S350-118,50,3,19976.0,e
1200S350-118,50,4,14982.0,e
1200S350-118,50,5,11986.0,e
1200S350-118,50,6,9241.0,e
1200S350-118,50,8,5198.0,e
1200S350-118,50,10,3327.0,e
1200S350-118,50,12,2310.0,e
1400S200-54,33,3,1568.0,e
1400S200-54,33,4,1176.0,e
1400S200-54,33,5,941.0,e
1400S200-54,33,6,784.0,e
1400S200-54,33,8,588.0,e
1400S200-54,33,10,470.0,e
1400S200-54,33,12,392.0,e
1400S200-54,50,3,1568.0,e
1400S200-54,50,4,1176.0,e
1400S200-54,50,5,941.0,e
1400S200-54,50,6,784.0,e
1400S200-54,50,8,588.0,e
1400S200-54,50,10,470.0,e
1400S200-54,50,12,392.0,e
1400S250-54,33,3,1568.0,e
1400S250-54,33,4,1176.0,e
1400S250-54,33,5,941.0,e
1400S250-54,33,6,784.0,e
1400S250-54,33,8,588.0,e
1400S250-54,33,10,470.0,e
1400S250-54,33,12,392.0,e
1400S250-54,50,3,1568.0,e
1400S250-54,50,4,1176.0,e
1400S250-54,50,5,941.0,e
1400S250-54,50,6,784.0,e
1400S250-54,50,8,588.0,e
1400S250-54,50,10,470.0,e
1400S250-54,50,12,392.0,e
1400S300-54,33,3,1568.0,e
1400S300-54,33,4,1176.0,e
1400S300-54,33,5,941.0,e
1400S300-54,33,6,784.0,e
1400S300-54,33,8,588.0,e
1400S300-54,33,10,470.0,e
1400S300-54,33,12,392.0,e
1400S300-54,50,3,1568.0,e
1400S300-54,50,4,1176.0,e
1400S300-54,50,5,941.0,e
1400S300-54,50,6,784.0,e
